Context Length,Document Depth,Score
15756,0,5
15756,10,5
15756,20,5
15756,30,5
15756,40,5
15756,60,5
15756,70,5
15756,80,5
15756,90,5
15756,100,5
17724,0,5
17724,10,5
17724,20,5
17724,30,5
17724,40,5
17724,60,5
17724,70,5
17724,80,5
17724,90,5
17724,100,5
19668,0,5
19668,10,5
19668,20,5
19668,30,5
19668,40,5
19668,60,5
19668,70,5
19668,80,5
19668,90,5
19668,100,5
21636,0,5
21636,10,5
21636,20,5
21636,30,5
21636,40,5
21636,60,5
21636,70,5
21636,80,5
21636,90,5
21636,100,5
23604,0,5
23604,10,5
23604,20,5
23604,30,5
23604,40,5
23604,60,5
23604,70,5
23604,80,5
23604,90,5
23604,100,4
25572,0,5
25572,10,5
25572,20,5
25572,30,5
25572,40,5
25572,60,5
25572,70,5
25572,80,5
25572,90,5
25572,100,5
27540,0,4
27540,10,5
27540,20,5
27540,30,5
27540,40,5
27540,60,5
27540,70,5
27540,80,5
27540,90,5
27540,100,5
29508,0,2
29508,10,5
29508,20,5
29508,30,5
29508,40,5
29508,60,5
29508,70,5
29508,80,5
29508,90,5
29508,100,5
31476,0,0
31476,10,5
31476,20,5
31476,30,5
31476,40,5
31476,60,5
31476,70,5
31476,80,5
31476,90,5
31476,100,5
33444,0,0
33444,10,5
33444,20,5
33444,30,5
33444,40,5
33444,60,5
33444,70,5
33444,80,5
33444,90,5
33444,100,5
35412,0,0
35412,10,5
35412,20,5
35412,30,5
35412,40,5
35412,60,5
35412,70,5
35412,80,5
35412,90,5
35412,100,5
37380,0,0
37380,10,5
37380,20,5
37380,30,4
37380,40,5
37380,60,5
37380,70,5
37380,80,5
37380,90,5
37380,100,5
39348,0,0
39348,10,5
39348,20,5
39348,30,3
39348,40,4
39348,60,5
39348,70,5
39348,80,5
39348,90,5
39348,100,5
41316,0,0
41316,10,5
41316,20,4
41316,30,1
41316,40,3
41316,60,3
41316,70,5
41316,80,5
41316,90,5
41316,100,5
43260,0,0
43260,10,2
43260,20,1
43260,30,0
43260,40,1
43260,60,1
43260,70,4
43260,80,5
43260,90,5
43260,100,5
45228,0,0
45228,10,1
45228,20,0
45228,30,0
45228,40,0
45228,60,1
45228,70,5
45228,80,5
45228,90,5
45228,100,5
47196,0,0
47196,10,1
47196,20,0
47196,30,0
47196,40,0
47196,60,1
47196,70,4
47196,80,5
47196,90,5
47196,100,5
49164,0,0
49164,10,1
49164,20,0
49164,30,0
49164,40,0
49164,60,2
49164,70,3
49164,80,4
49164,90,5
49164,100,5
51132,0,0
51132,10,0
51132,20,0
51132,30,1
51132,40,0
51132,60,1
51132,70,4
51132,80,5
51132,90,5
51132,100,5
53100,0,1
53100,10,0
53100,20,0
53100,30,1
53100,40,0
53100,60,1
53100,70,2
53100,80,5
53100,90,5
53100,100,5
55068,0,1
55068,10,1
55068,20,0
55068,30,0
55068,40,0
55068,60,1
55068,70,1
55068,80,5
55068,90,5
55068,100,5
57036,0,1
57036,10,1
57036,20,0
57036,30,0
57036,40,0
57036,60,0
57036,70,1
57036,80,3
57036,90,5
57036,100,5
59004,0,1
59004,10,1
59004,20,0
59004,30,0
59004,40,0
59004,60,0
59004,70,1
59004,80,3
59004,90,5
59004,100,5
60972,0,1
60972,10,1
60972,20,0
60972,30,0
60972,40,0
60972,60,0
60972,70,0
60972,80,1
60972,90,5
60972,100,5
62940,0,0
62940,10,0
62940,20,0
62940,30,0
62940,40,0
62940,60,0
62940,70,0
62940,80,0
62940,90,5
62940,100,5
