Context Length,Document Depth,Score
25932,0.0,5
25932,10.0,5
25932,20.0,5
25932,30.0,5
25932,40.0,5
25932,60.0,5
25932,70.0,5
25932,80.0,5
25932,90.0,5
25932,100.0,5
27900,0.0,5
27900,10.0,5
27900,20.0,5
27900,30.0,5
27900,40.0,5
27900,60.0,5
27900,70.0,5
27900,80.0,5
27900,90.0,5
27900,100.0,5
29868,0.0,4
29868,10.0,5
29868,20.0,5
29868,30.0,5
29868,40.0,5
29868,60.0,5
29868,70.0,5
29868,80.0,5
29868,90.0,5
29868,100.0,5
31836,0.0,2
31836,10.0,5
31836,20.0,5
31836,30.0,5
31836,40.0,5
31836,60.0,5
31836,70.0,5
31836,80.0,5
31836,90.0,5
31836,100.0,5
33804,0.0,2
33804,10.0,5
33804,20.0,5
33804,30.0,5
33804,40.0,5
33804,60.0,5
33804,70.0,5
33804,80.0,5
33804,90.0,5
33804,100.0,5
35772,0.0,1
35772,10.0,5
35772,20.0,5
35772,30.0,5
35772,40.0,5
35772,60.0,5
35772,70.0,5
35772,80.0,5
35772,90.0,5
35772,100.0,5
37740,0.0,1
37740,10.0,5
37740,20.0,5
37740,30.0,5
37740,40.0,5
37740,60.0,5
37740,70.0,5
37740,80.0,5
37740,90.0,5
37740,100.0,5
39708,0.0,0
39708,10.0,5
39708,20.0,5
39708,30.0,5
39708,40.0,5
39708,60.0,5
39708,70.0,5
39708,80.0,5
39708,90.0,5
39708,100.0,5
41676,0.0,0
41676,10.0,5
41676,20.0,5
41676,30.0,5
41676,40.0,5
41676,60.0,5
41676,70.0,5
41676,80.0,5
41676,90.0,5
41676,100.0,5
43644,0.0,0
43644,10.0,5
43644,20.0,5
43644,30.0,5
43644,40.0,5
43644,60.0,5
43644,70.0,5
43644,80.0,5
43644,90.0,5
43644,100.0,5
45588,0.0,0
45588,10.0,5
45588,20.0,5
45588,30.0,5
45588,40.0,5
45588,60.0,5
45588,70.0,5
45588,80.0,5
45588,90.0,5
45588,100.0,5
47556,0.0,0
47556,10.0,4
47556,20.0,5
47556,30.0,5
47556,40.0,5
47556,60.0,5
47556,70.0,5
47556,80.0,5
47556,90.0,5
47556,100.0,5
49524,0.0,0
49524,10.0,3
49524,20.0,3
49524,30.0,3
49524,40.0,5
49524,60.0,5
49524,70.0,4
49524,80.0,5
49524,90.0,5
49524,100.0,5
51492,0.0,0
51492,10.0,2
51492,20.0,1
51492,30.0,2
51492,40.0,3
51492,60.0,2
51492,70.0,4
51492,80.0,5
51492,90.0,5
51492,100.0,5
53460,0.0,0
53460,10.0,0
53460,20.0,0
53460,30.0,2
53460,40.0,3
53460,60.0,2
53460,70.0,3
53460,80.0,5
53460,90.0,5
53460,100.0,5
55428,0.0,0
55428,10.0,0
55428,20.0,0
55428,30.0,0
55428,40.0,1
55428,60.0,1
55428,70.0,3
55428,80.0,4
55428,90.0,5
55428,100.0,5
57396,0.0,0
57396,10.0,0
57396,20.0,0
57396,30.0,0
57396,40.0,1
57396,60.0,1
57396,70.0,3
57396,80.0,4
57396,90.0,5
57396,100.0,5
59364,0.0,0
59364,10.0,0
59364,20.0,0
59364,30.0,0
59364,40.0,1
59364,60.0,1
59364,70.0,2
59364,80.0,4
59364,90.0,5
59364,100.0,5
61332,0.0,0
61332,10.0,0
61332,20.0,0
61332,30.0,0
61332,40.0,2
61332,60.0,0
61332,70.0,3
61332,80.0,4
61332,90.0,5
61332,100.0,5
